no,nama,harga_usd,market_cap,sumber,waktu_scraping
1,CoinMarketCap 20 Index DTF,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.006088
2,Bitcoin,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.006952
3,Ethereum,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.008332
4,Tether,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.009624
5,BNB,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.010428
6,XRP,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.011864
7,USDC,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.071943
8,Solana,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.072953
9,TRON,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.074032
10,Dogecoin,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.074928
11,UNUS SED LEO,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.075694
12,Hyperliquid,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.077540
13,Cardano,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.082212
14,Bitcoin Cash,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.083837
15,Chainlink,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.085099
16,XMR,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.139176
17,USDe,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.140085
18,CC,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.145100
19,DAI,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.147567
20,XLM,N/A,N/A,CoinMarketCap,2026-04-07 20:35:53.166585
